Latitude,Longitude,Elevation
37.39291000,-80.0405000,925.0
37.39256000,-80.0405600,924.0
37.39228000,-80.0406300,920.0
37.39210000,-80.0406500,918.0
37.39189000,-80.0406300,916.0
37.39175000,-80.0405800,915.0
37.39160000,-80.0405500,914.0
37.39141000,-80.0405100,912.0
37.39152000,-80.0408100,908.0
37.39173000,-80.0411200,904.0
37.39177000,-80.0411900,903.0
37.39180000,-80.0412200,903.0
37.39199000,-80.0416600,896.0
37.39211000,-80.0418700,893.0
37.39226000,-80.0423400,885.0
37.39227000,-80.0428800,877.0
37.39243000,-80.0432800,870.0
37.39246000,-80.0433700,869.0
37.39245000,-80.0434600,868.0
37.39243000,-80.0434900,868.0
37.39236000,-80.0435300,868.0
37.39218000,-80.0435600,870.0
37.39187000,-80.0435000,869.0
37.39180000,-80.0434700,869.0
37.39151000,-80.0434500,864.0
37.39118000,-80.0434300,859.0
37.39112000,-80.0435000,857.0
37.39115000,-80.0436100,855.0
37.39124000,-80.0437100,855.0
37.39133000,-80.0439500,854.0
37.39137000,-80.0443100,850.0
37.39135000,-80.0446100,847.0
37.39133000,-80.0448200,845.0
37.39132000,-80.0450200,843.0
37.39136000,-80.0454400,841.0
37.39132000,-80.0457100,839.0
37.39128000,-80.0458300,837.0
37.39117000,-80.0460200,835.0
37.39102000,-80.0462000,831.0
37.39095000,-80.0464200,829.0
37.39095000,-80.0465100,829.0
37.39083000,-80.0468300,823.0
37.39077000,-80.0468900,821.0
37.39068000,-80.0470100,818.0
37.39060000,-80.0470700,816.0
37.39051000,-80.0471900,813.0
37.39042000,-80.0472700,810.0
37.39024000,-80.0476100,804.0
37.39015000,-80.0479000,801.0
37.39000000,-80.0481700,798.0
37.38988000,-80.0488900,795.0
37.38981000,-80.0492200,790.0
37.38986000,-80.0497000,785.0
37.38989000,-80.0499200,782.0
37.38990000,-80.0502000,778.0
37.38999000,-80.0504600,775.0
37.39000000,-80.0506400,773.0
37.38992000,-80.0508000,770.0
37.38984000,-80.0508800,768.0
37.38974000,-80.0509500,766.0
37.38963000,-80.0509500,765.0
37.38956000,-80.0509300,764.0
37.38928000,-80.0507200,761.0
37.38915000,-80.0505600,760.0
37.38896000,-80.0503700,758.0
37.38888000,-80.0503400,757.0
37.38856000,-80.0499200,754.0
37.38843000,-80.0496500,752.0
37.38834000,-80.0496300,750.0
37.38830000,-80.0497900,748.0
37.38833000,-80.0500200,747.0
37.38838000,-80.0503300,745.0
37.38844000,-80.0506900,741.0
37.38846000,-80.0511400,736.0
37.38848000,-80.0512900,737.0
37.38857000,-80.0514100,738.0
37.38858000,-80.0515800,738.0
37.38850000,-80.0517000,736.0
37.38843000,-80.0517900,734.0
37.38837000,-80.0518100,733.0
37.38826000,-80.0518000,730.0
37.38819000,-80.0518200,729.0
37.38813000,-80.0519400,727.0
37.38801000,-80.0521600,723.0
37.38787000,-80.0523100,720.0
37.38760000,-80.0526300,714.0
37.38754000,-80.0528400,712.0
37.38747000,-80.0530600,711.0
37.38744000,-80.0533200,709.0
37.38743000,-80.0536800,706.0
37.38749000,-80.0538600,705.0
37.38752000,-80.0540800,704.0
37.38750000,-80.0542300,702.0
37.38755000,-80.0545200,699.0
37.38755000,-80.0549700,695.0
37.38750000,-80.0555100,688.0
37.38750000,-80.0556900,687.0
37.38742000,-80.0560800,683.0
37.38739000,-80.0562600,680.0
37.38739000,-80.0563000,679.0
37.38740000,-80.0563500,679.0
37.38746000,-80.0566600,677.0
37.38752000,-80.0567000,678.0
37.38763000,-80.0567300,678.0
37.38802000,-80.0567400,676.0
37.38816000,-80.0567100,675.0
37.38849000,-80.0567300,675.0
37.38856000,-80.0567300,676.0
37.38874000,-80.0566100,678.0
37.38899000,-80.0566300,680.0
37.38896000,-80.0567400,679.0
37.38897000,-80.0568700,679.0
37.38894000,-80.0569500,679.0
37.38895000,-80.0571500,680.0
37.38890000,-80.0574400,681.0
37.38888000,-80.0575300,681.0
37.38884000,-80.0577300,681.0
37.38877000,-80.0579200,681.0
37.38867000,-80.0580800,682.0
37.38856000,-80.0581200,682.0
37.38841000,-80.0583200,684.0
37.38835000,-80.0583700,685.0
37.38821000,-80.0585700,687.0
37.38815000,-80.0586900,688.0
37.38808000,-80.0587900,689.0
37.38803000,-80.0589100,690.0
37.38797000,-80.0589700,689.0
37.38792000,-80.0592500,691.0
37.38787000,-80.0593900,691.0
37.38785000,-80.0594800,691.0
37.38781000,-80.0595500,691.0
37.38764000,-80.0597200,688.0
37.38754000,-80.0598500,688.0
37.38742000,-80.0599600,687.0
37.38732000,-80.0600100,686.0
37.38721000,-80.0600800,685.0
37.38697000,-80.0605200,684.0
37.38684000,-80.0606700,682.0
37.38675000,-80.0608300,681.0
37.38665000,-80.0610300,678.0
37.38660000,-80.0611300,677.0
37.38655000,-80.0611800,675.0
37.38650000,-80.0611800,674.0
37.38647000,-80.0611300,674.0
37.38636000,-80.0610200,671.0
37.38623000,-80.0608600,665.0
37.38615000,-80.0606000,659.0
37.38613000,-80.0606700,659.0
37.38606000,-80.0607700,658.0
37.38595000,-80.0610600,657.0
37.38586000,-80.0613700,653.0
37.38591000,-80.0614600,653.0
37.38598000,-80.0617100,651.0
37.38607000,-80.0619100,650.0
37.38615000,-80.0619900,651.0
37.38629000,-80.0623600,647.0
37.38648000,-80.0626900,645.0
37.38656000,-80.0628900,643.0
37.38668000,-80.0633700,638.0
37.38667000,-80.0635500,634.0
37.38669000,-80.0636800,635.0
37.38679000,-80.0640200,641.0
37.38684000,-80.0640900,643.0
37.38687000,-80.0641700,645.0
37.38689000,-80.0643500,646.0
37.38687000,-80.0645300,645.0
37.38688000,-80.0647100,644.0
37.38684000,-80.0652100,642.0
37.38678000,-80.0657400,640.0
37.38671000,-80.0660000,638.0
37.38667000,-80.0663100,636.0
37.38664000,-80.0664900,635.0
37.38663000,-80.0668100,636.0
37.38665000,-80.0670300,636.0
37.38669000,-80.0672100,637.0
37.38669000,-80.0673400,638.0
37.38658000,-80.0675800,636.0
37.38652000,-80.0677900,634.0
37.38644000,-80.0680400,632.0
37.38628000,-80.0687000,624.0
37.38624000,-80.0691500,621.0
37.38626000,-80.0700100,622.0
37.38623000,-80.0708300,621.0
37.38617000,-80.0714200,617.0
37.38599000,-80.0721600,608.0
37.38592000,-80.0722600,607.0
37.38582000,-80.0725000,606.0
37.38578000,-80.0725100,604.0
37.38576000,-80.0726100,604.0
37.38572000,-80.0726900,603.0
37.38575000,-80.0728000,604.0
37.38582000,-80.0729200,605.0
37.38588000,-80.0730200,607.0
37.38588000,-80.0733000,604.0
37.38588000,-80.0733100,604.0
37.38584000,-80.0735200,603.0
37.38577000,-80.0737300,605.0
37.38569000,-80.0738200,605.0
37.38563000,-80.0738400,604.0
37.38546000,-80.0741400,606.0
37.38538000,-80.0742900,608.0
37.38529000,-80.0743600,606.0
37.38526000,-80.0743900,606.0
37.38519000,-80.0748300,610.0
37.38518000,-80.0752000,617.0
37.38520000,-80.0755200,625.0
37.38515000,-80.0758900,626.0
37.38518000,-80.0761300,627.0
37.38528000,-80.0762800,632.0
37.38524000,-80.0764800,630.0
37.38524000,-80.0766300,630.0
37.38523000,-80.0769900,631.0
37.38515000,-80.0774800,629.0
37.38496000,-80.0780200,621.0
37.38493000,-80.0781500,618.0
37.38493000,-80.0782400,618.0
37.38497000,-80.0783700,619.0
37.38491000,-80.0784100,617.0
37.38477000,-80.0787300,614.0
37.38473000,-80.0790400,616.0
37.38474000,-80.0793600,620.0
37.38470000,-80.0795800,621.0
37.38467000,-80.0796700,621.0
37.38455000,-80.0799900,619.0
37.38436000,-80.0802600,620.0
37.38427000,-80.0804100,622.0
37.38416000,-80.0806500,625.0
37.38407000,-80.0807800,625.0
37.38390000,-80.0809600,623.0
37.38376000,-80.0811600,624.0
37.38368000,-80.0812500,625.0
37.38346000,-80.0816700,625.0
37.38340000,-80.0818800,625.0
37.38328000,-80.0821600,627.0
37.38320000,-80.0822500,626.0
37.38314000,-80.0823700,625.0
37.38303000,-80.0827500,628.0
37.38294000,-80.0828900,628.0
37.38290000,-80.0830200,628.0
37.38277000,-80.0832900,627.0
37.38274000,-80.0834200,628.0
37.38266000,-80.0835100,627.0
37.38262000,-80.0835800,627.0
37.38256000,-80.0838000,629.0
37.38250000,-80.0839100,629.0
37.38249000,-80.0840400,630.0
37.38245000,-80.0841700,631.0
37.38235000,-80.0843000,630.0
37.38225000,-80.0845400,632.0
37.38224000,-80.0845600,632.0
37.38220000,-80.0848500,633.0
37.38214000,-80.0850600,632.0
37.38211000,-80.0852000,633.0
37.38207000,-80.0855100,636.0
37.38208000,-80.0856000,638.0
37.38213000,-80.0857200,640.0
37.38215000,-80.0858500,641.0
37.38213000,-80.0859900,642.0
37.38210000,-80.0863300,644.0
37.38215000,-80.0863900,646.0
37.38221000,-80.0866100,646.0
37.38216000,-80.0869700,642.0
37.38209000,-80.0873200,638.0
37.38195000,-80.0877400,637.0
37.38183000,-80.0879600,637.0
37.38180000,-80.0880900,636.0
37.38169000,-80.0881700,634.0
37.38161000,-80.0883200,631.0
37.38155000,-80.0883700,629.0
37.38148000,-80.0884700,627.0
37.38137000,-80.0886500,624.0
37.38128000,-80.0887100,622.0
37.38122000,-80.0887900,621.0
37.38115000,-80.0887900,620.0
37.38109000,-80.0888300,620.0
37.38101000,-80.0889000,618.0
37.38096000,-80.0889400,617.0
37.38086000,-80.0887600,614.0
37.38082000,-80.0887400,613.0
37.38081000,-80.0887400,613.0
37.38076000,-80.0887900,611.0
37.38072000,-80.0888800,611.0
37.38061000,-80.0889700,607.0
37.38055000,-80.0891500,605.0
37.38047000,-80.0892200,604.0
37.38042000,-80.0892100,603.0
37.38038000,-80.0892500,602.0
37.38038000,-80.0892400,602.0
