Latitude,Longitude,Elevation
39.07955000,-77.9011000,358.0
39.07949000,-77.9009900,356.0
39.07943000,-77.9009400,355.0
39.07929000,-77.9009800,352.0
39.07918000,-77.9007500,351.0
39.07908000,-77.9006900,350.0
39.07901000,-77.9006900,349.0
39.07892000,-77.9007700,348.0
39.07889000,-77.9007800,348.0
39.07875000,-77.9007600,345.0
39.07858000,-77.9007000,342.0
39.07847000,-77.9006900,340.0
39.07842000,-77.9006300,339.0
39.07836000,-77.9005900,338.0
39.07829000,-77.9004900,337.0
39.07829000,-77.9004000,338.0
39.07824000,-77.9002300,338.0
39.07818000,-77.9001800,337.0
39.07813000,-77.9000600,337.0
39.07808000,-77.9000000,337.0
39.07801000,-77.8999500,336.0
39.07795000,-77.8999300,336.0
39.07786000,-77.8997800,336.0
39.07759000,-77.8996600,337.0
39.07743000,-77.8995500,338.0
39.07738000,-77.8994900,339.0
39.07720000,-77.8994900,339.0
39.07715000,-77.8995500,338.0
39.07705000,-77.8995400,339.0
39.07689000,-77.8996600,338.0
39.07657000,-77.8997200,341.0
39.07651000,-77.8996800,342.0
39.07647000,-77.8996800,343.0
39.07640000,-77.8997000,344.0
39.07631000,-77.8997800,344.0
39.07621000,-77.8997900,345.0
39.07618000,-77.8998200,345.0
39.07604000,-77.8998000,347.0
39.07601000,-77.8998100,347.0
39.07596000,-77.8998800,347.0
39.07590000,-77.8999300,347.0
39.07580000,-77.8999000,349.0
39.07573000,-77.8998900,350.0
39.07566000,-77.8999100,350.0
39.07555000,-77.8999000,351.0
39.07552000,-77.8999800,350.0
39.07546000,-77.9000200,350.0
39.07538000,-77.9000200,350.0
39.07521000,-77.8999700,351.0
39.07518000,-77.8999400,351.0
39.07511000,-77.8999500,351.0
39.07493000,-77.8999300,351.0
39.07476000,-77.8998800,351.0
39.07473000,-77.8998600,351.0
39.07469000,-77.8997800,351.0
39.07460000,-77.8997100,352.0
39.07455000,-77.8996400,352.0
39.07445000,-77.8996000,353.0
39.07435000,-77.8996600,352.0
39.07426000,-77.8996000,353.0
39.07423000,-77.8996200,353.0
39.07415000,-77.8997100,351.0
39.07391000,-77.8999100,350.0
39.07378000,-77.8999800,350.0
39.07373000,-77.9000500,350.0
39.07363000,-77.9000800,351.0
39.07351000,-77.9001700,352.0
39.07347000,-77.9002500,351.0
39.07327000,-77.9003400,353.0
39.07289000,-77.9004600,357.0
39.07269000,-77.9005500,358.0
39.07261000,-77.9006500,359.0
39.07248000,-77.9007100,360.0
39.07236000,-77.9008100,361.0
39.07229000,-77.9008300,362.0
39.07215000,-77.9009800,362.0
39.07210000,-77.9010800,361.0
39.07203000,-77.9011100,362.0
39.07198000,-77.9011700,361.0
39.07191000,-77.9011500,362.0
39.07185000,-77.9011000,363.0
39.07178000,-77.9011100,363.0
39.07164000,-77.9011000,364.0
39.07157000,-77.9011400,364.0
39.07149000,-77.9012300,363.0
39.07139000,-77.9012100,364.0
39.07117000,-77.9013500,363.0
39.07088000,-77.9013300,362.0
39.07074000,-77.9013800,361.0
39.07055000,-77.9015000,361.0
39.07045000,-77.9015400,362.0
39.07040000,-77.9016100,362.0
39.07039000,-77.9017400,359.0
39.07035000,-77.9018200,358.0
39.07046000,-77.9019900,351.0
39.07050000,-77.9022100,345.0
39.07049000,-77.9023100,342.0
39.07040000,-77.9024500,339.0
39.07035000,-77.9025700,337.0
39.07029000,-77.9026200,337.0
39.07023000,-77.9028400,334.0
39.07017000,-77.9029500,333.0
39.07008000,-77.9030300,332.0
39.06999000,-77.9031600,330.0
39.06990000,-77.9032300,331.0
39.06990000,-77.9032400,330.0
39.06996000,-77.9035000,328.0
39.06995000,-77.9036200,327.0
39.06994000,-77.9038200,327.0
39.06995000,-77.9038400,327.0
39.07001000,-77.9038600,326.0
39.07007000,-77.9041700,325.0
39.07016000,-77.9043700,326.0
39.07024000,-77.9044500,325.0
39.07038000,-77.9044900,323.0
39.07044000,-77.9045400,323.0
39.07040000,-77.9046700,325.0
39.07045000,-77.9048900,328.0
39.07048000,-77.9049700,329.0
39.07062000,-77.9050300,329.0
39.07064000,-77.9051200,331.0
39.07066000,-77.9051600,332.0
39.07069000,-77.9051600,331.0
39.07076000,-77.9051300,330.0
39.07084000,-77.9052200,331.0
39.07094000,-77.9052600,331.0
39.07102000,-77.9053500,333.0
39.07123000,-77.9054300,333.0
39.07135000,-77.9055200,335.0
39.07136000,-77.9055700,337.0
39.07128000,-77.9056600,338.0
39.07120000,-77.9058600,341.0
39.07120000,-77.9059000,342.0
39.07137000,-77.9060700,345.0
39.07137000,-77.9062500,347.0
39.07146000,-77.9064500,350.0
39.07164000,-77.9067300,354.0
39.07166000,-77.9068200,355.0
39.07166000,-77.9069600,356.0
39.07179000,-77.9071200,355.0
39.07186000,-77.9071300,354.0
39.07190000,-77.9072600,354.0
39.07193000,-77.9072900,354.0
39.07199000,-77.9073400,354.0
39.07203000,-77.9074100,354.0
39.07219000,-77.9075200,351.0
39.07224000,-77.9075900,352.0
39.07228000,-77.9077100,354.0
39.07233000,-77.9077700,354.0
39.07238000,-77.9080000,359.0
39.07241000,-77.9080800,360.0
39.07249000,-77.9081700,359.0
39.07250000,-77.9082100,360.0
39.07250000,-77.9084400,362.0
39.07251000,-77.9084800,362.0
39.07256000,-77.9085400,362.0
39.07257000,-77.9086800,365.0
39.07260000,-77.9087700,366.0
39.07273000,-77.9089100,368.0
39.07279000,-77.9090800,370.0
39.07299000,-77.9092800,370.0
39.07304000,-77.9094000,371.0
39.07304000,-77.9094900,372.0
39.07301000,-77.9095800,372.0
39.07299000,-77.9096000,372.0
39.07288000,-77.9096300,372.0
39.07281000,-77.9096600,372.0
39.07269000,-77.9097600,371.0
39.07262000,-77.9098600,370.0
39.07259000,-77.9098800,370.0
39.07249000,-77.9098200,369.0
39.07242000,-77.9098200,368.0
39.07228000,-77.9098500,367.0
39.07215000,-77.9097900,366.0
39.07207000,-77.9098000,366.0
39.07204000,-77.9098800,365.0
39.07182000,-77.9098800,364.0
39.07179000,-77.9099000,363.0
39.07176000,-77.9099200,363.0
39.07172000,-77.9101000,361.0
39.07176000,-77.9103300,357.0
39.07176000,-77.9104200,355.0
39.07181000,-77.9105400,354.0
39.07187000,-77.9105900,353.0
39.07190000,-77.9106800,351.0
39.07195000,-77.9107300,350.0
39.07209000,-77.9109500,347.0
39.07217000,-77.9110400,346.0
39.07233000,-77.9112900,342.0
39.07245000,-77.9114000,342.0
39.07252000,-77.9115600,339.0
39.07252000,-77.9116000,338.0
39.07248000,-77.9116800,336.0
39.07229000,-77.9118000,330.0
39.07217000,-77.9119000,326.0
39.07213000,-77.9119000,325.0
39.07210000,-77.9120800,319.0
39.07212000,-77.9120600,320.0
