Latitude,Longitude,Elevation
38.56144000,-78.3607700,691.0
38.56136000,-78.3604000,684.0
38.56136000,-78.3600000,680.0
38.56135000,-78.3599000,678.0
38.56127000,-78.3599100,676.0
38.56123000,-78.3599700,676.0
38.56118000,-78.3599700,675.0
38.56116000,-78.3598700,672.0
38.56115000,-78.3597700,670.0
38.56111000,-78.3596900,667.0
38.56104000,-78.3596000,665.0
38.56104000,-78.3594500,663.0
38.56106000,-78.3592800,663.0
38.56104000,-78.3592200,662.0
38.56100000,-78.3591900,660.0
38.56096000,-78.3591500,658.0
38.56098000,-78.3590000,657.0
38.56093000,-78.3587900,652.0
38.56089000,-78.3587000,650.0
38.56085000,-78.3587700,649.0
38.56082000,-78.3588400,649.0
38.56076000,-78.3588500,648.0
38.56070000,-78.3589400,649.0
38.56064000,-78.3589600,649.0
38.56062000,-78.3588900,647.0
38.56064000,-78.3585000,641.0
38.56068000,-78.3582600,640.0
38.56066000,-78.3581000,639.0
38.56063000,-78.3579700,639.0
38.56060000,-78.3579200,639.0
38.56057000,-78.3579500,637.0
38.56052000,-78.3580000,634.0
38.56037000,-78.3579500,629.0
38.56020000,-78.3578500,624.0
38.56015000,-78.3577700,622.0
38.56009000,-78.3576100,618.0
38.56004000,-78.3575300,615.0
38.55994000,-78.3574400,612.0
38.55989000,-78.3573900,611.0
38.55983000,-78.3573800,609.0
38.55975000,-78.3574000,607.0
38.55972000,-78.3573600,607.0
38.55973000,-78.3572800,606.0
38.55975000,-78.3571900,607.0
38.55973000,-78.3570900,607.0
38.55972000,-78.3570500,607.0
38.55972000,-78.3569900,607.0
38.55973000,-78.3569300,608.0
38.55972000,-78.3568500,609.0
38.55962000,-78.3567800,608.0
38.55964000,-78.3566900,610.0
38.55964000,-78.3566300,611.0
38.55960000,-78.3565500,610.0
38.55954000,-78.3565300,608.0
38.55949000,-78.3564500,606.0
38.55943000,-78.3564300,605.0
38.55935000,-78.3565000,602.0
38.55923000,-78.3563900,599.0
38.55912000,-78.3562800,598.0
38.55902000,-78.3562100,596.0
38.55896000,-78.3562400,594.0
38.55896000,-78.3563100,593.0
38.55889000,-78.3563300,590.0
38.55884000,-78.3562800,590.0
38.55876000,-78.3561900,589.0
38.55868000,-78.3561300,587.0
38.55851000,-78.3560700,584.0
38.55839000,-78.3559600,586.0
38.55827000,-78.3558200,588.0
38.55818000,-78.3557400,587.0
38.55809000,-78.3556500,586.0
38.55806000,-78.3555500,585.0
38.55804000,-78.3554400,585.0
38.55799000,-78.3553400,584.0
38.55792000,-78.3552600,580.0
38.55792000,-78.3551800,579.0
38.55791000,-78.3550900,578.0
38.55794000,-78.3548800,578.0
38.55795000,-78.3547400,577.0
38.55791000,-78.3545400,575.0
38.55780000,-78.3543300,570.0
38.55769000,-78.3540700,562.0
38.55766000,-78.3538200,562.0
38.55763000,-78.3537000,561.0
38.55759000,-78.3536000,559.0
38.55750000,-78.3535200,553.0
38.55739000,-78.3534600,548.0
38.55731000,-78.3534500,544.0
38.55723000,-78.3534400,541.0
38.55713000,-78.3533500,538.0
38.55704000,-78.3533000,534.0
38.55696000,-78.3532100,531.0
38.55692000,-78.3531100,530.0
38.55691000,-78.3530000,529.0
38.55697000,-78.3528500,532.0
38.55699000,-78.3527600,531.0
38.55697000,-78.3527300,530.0
38.55692000,-78.3527500,528.0
38.55685000,-78.3528100,525.0
38.55685000,-78.3527700,525.0
38.55689000,-78.3526400,523.0
38.55692000,-78.3525300,520.0
38.55694000,-78.3524800,519.0
38.55697000,-78.3524100,517.0
38.55690000,-78.3524300,515.0
38.55682000,-78.3524700,513.0
38.55674000,-78.3525200,512.0
38.55663000,-78.3526400,508.0
38.55653000,-78.3526900,504.0
38.55648000,-78.3526300,498.0
38.55643000,-78.3526200,494.0
38.55637000,-78.3526400,491.0
38.55633000,-78.3526600,490.0
38.55630000,-78.3527100,491.0
38.55630000,-78.3526500,488.0
38.55634000,-78.3525100,482.0
38.55637000,-78.3524200,482.0
38.55641000,-78.3523700,483.0
38.55634000,-78.3523700,480.0
38.55626000,-78.3524000,477.0
38.55616000,-78.3525100,473.0
38.55609000,-78.3526900,479.0
38.55611000,-78.3529100,487.0
38.55604000,-78.3529700,487.0
38.55596000,-78.3529100,483.0
38.55594000,-78.3526400,475.0
38.55584000,-78.3524400,471.0
38.55572000,-78.3523100,469.0
38.55565000,-78.3521600,467.0
38.55563000,-78.3521200,467.0
38.55554000,-78.3520400,466.0
38.55537000,-78.3519000,462.0
38.55524000,-78.3517500,460.0
38.55512000,-78.3516700,457.0
38.55501000,-78.3517100,455.0
38.55486000,-78.3517800,453.0
38.55469000,-78.3517300,452.0
38.55451000,-78.3516600,452.0
38.55439000,-78.3515800,454.0
38.55422000,-78.3515400,452.0
38.55401000,-78.3515600,451.0
38.55379000,-78.3515500,451.0
38.55360000,-78.3514900,452.0
38.55337000,-78.3515300,448.0
38.55316000,-78.3516000,445.0
38.55296000,-78.3516100,444.0
38.55284000,-78.3517300,441.0
38.55264000,-78.3518800,438.0
38.55237000,-78.3519800,436.0
38.55218000,-78.3520200,436.0
38.55198000,-78.3520100,436.0
38.55177000,-78.3520300,435.0
38.55156000,-78.3521200,435.0
38.55137000,-78.3522400,432.0
38.55132000,-78.3523300,431.0
38.55120000,-78.3524200,431.0
38.55107000,-78.3524200,432.0
38.55089000,-78.3525000,431.0
38.55082000,-78.3525700,429.0
38.55072000,-78.3526300,429.0
38.55057000,-78.3526800,429.0
38.55039000,-78.3526200,429.0
38.55033000,-78.3525500,429.0
38.55026000,-78.3525200,429.0
38.55012000,-78.3524900,430.0
38.54997000,-78.3525000,431.0
38.54990000,-78.3525600,430.0
38.54983000,-78.3526600,429.0
38.54968000,-78.3527500,426.0
38.54952000,-78.3527900,423.0
38.54939000,-78.3527800,420.0
38.54931000,-78.3528000,418.0
38.54932000,-78.3529500,415.0
38.54934000,-78.3530700,413.0
38.54929000,-78.3531300,412.0
38.54921000,-78.3531000,410.0
38.54906000,-78.3530600,409.0
38.54885000,-78.3530100,408.0
38.54869000,-78.3530400,407.0
38.54838000,-78.3533100,404.0
38.54821000,-78.3532700,401.0
38.54802000,-78.3532500,399.0
38.54794000,-78.3532400,399.0
38.54776000,-78.3531700,399.0
38.54753000,-78.3530900,399.0
38.54719000,-78.3529400,395.0
38.54688000,-78.3527300,392.0
38.54667000,-78.3526400,391.0
38.54655000,-78.3524600,388.0
38.54641000,-78.3523100,386.0
38.54622000,-78.3521400,383.0
38.54610000,-78.3520900,382.0
38.54599000,-78.3518800,382.0
38.54590000,-78.3517400,383.0
38.54586000,-78.3516300,384.0
38.54558000,-78.3515000,385.0
38.54544000,-78.3514500,385.0
38.54526000,-78.3514300,385.0
38.54506000,-78.3514500,383.0
38.54492000,-78.3514500,382.0
38.54481000,-78.3513500,382.0
38.54477000,-78.3513100,382.0
38.54466000,-78.3512200,383.0
38.54449000,-78.3511900,382.0
38.54427000,-78.3511900,381.0
38.54409000,-78.3511600,380.0
38.54397000,-78.3511400,378.0
38.54384000,-78.3511200,377.0
38.54355000,-78.3509600,379.0
38.54335000,-78.3508700,380.0
38.54319000,-78.3508200,380.0
38.54307000,-78.3507700,380.0
38.54294000,-78.3507800,377.0
38.54273000,-78.3507600,373.0
38.54249000,-78.3508700,367.0
38.54232000,-78.3509700,366.0
38.54201000,-78.3509700,365.0
38.54194000,-78.3509700,364.0
38.54187000,-78.3510900,361.0
38.54186000,-78.3513600,361.0
38.54179000,-78.3515400,360.0
38.54165000,-78.3517000,360.0
38.54143000,-78.3518200,358.0
38.54131000,-78.3518300,358.0
38.54117000,-78.3517600,357.0
38.54101000,-78.3515400,356.0
38.54076000,-78.3511700,359.0
38.54057000,-78.3508300,360.0
38.54039000,-78.3505900,359.0
38.54028000,-78.3503900,358.0
38.54021000,-78.3503100,358.0
38.53997000,-78.3501600,358.0
38.53996000,-78.3501000,357.0
38.53999000,-78.3497900,355.0
38.53982000,-78.3495200,352.0
38.53965000,-78.3493800,351.0
38.53956000,-78.3492600,350.0
38.53963000,-78.3491700,349.0
