Latitude,Longitude,Elevation
37.58533000,-79.4630700,738.0
37.58581000,-79.4629300,759.0
37.58623000,-79.4623700,768.0
37.58631000,-79.4621300,769.0
37.58630000,-79.4617300,768.0
37.58621000,-79.4616100,768.0
37.58609000,-79.4615300,768.0
37.58621000,-79.4616100,768.0
37.58630000,-79.4617300,768.0
37.58631000,-79.4621300,769.0
37.58623000,-79.4623700,768.0
37.58581000,-79.4629300,759.0
37.58533000,-79.4630700,738.0
37.58495000,-79.4633000,733.0
37.58462000,-79.4636900,734.0
37.58444000,-79.4637800,732.0
37.58356000,-79.4637000,715.0
37.58317000,-79.4638900,715.0
37.58303000,-79.4639000,713.0
37.58258000,-79.4636400,706.0
37.58236000,-79.4638000,708.0
37.58222000,-79.4640600,708.0
37.58228000,-79.4643300,707.0
37.58230000,-79.4647100,706.0
37.58206000,-79.4648600,702.0
37.58190000,-79.4651400,699.0
37.58182000,-79.4654800,696.0
37.58184000,-79.4659200,694.0
37.58156000,-79.4661100,686.0
37.58138000,-79.4665400,679.0
37.58125000,-79.4670100,674.0
37.58087000,-79.4677500,668.0
37.58010000,-79.4689700,645.0
37.57990000,-79.4694100,641.0
37.57970000,-79.4701400,630.0
37.57977000,-79.4708100,625.0
37.57995000,-79.4716000,612.0
37.58000000,-79.4723600,592.0
37.57977000,-79.4731000,576.0
37.57977000,-79.4736600,557.0
37.57988000,-79.4739200,544.0
37.57991000,-79.4740500,540.0
37.57993000,-79.4742800,535.0
37.58004000,-79.4746700,527.0
37.58009000,-79.4750600,521.0
37.58010000,-79.4756000,512.0
37.58008000,-79.4757800,508.0
37.57994000,-79.4761100,500.0
37.57964000,-79.4765100,493.0
37.57942000,-79.4769200,487.0
37.57922000,-79.4773100,481.0
37.57916000,-79.4775800,475.0
37.57914000,-79.4778700,472.0
37.57902000,-79.4782000,467.0
37.57883000,-79.4786100,460.0
37.57873000,-79.4788400,457.0
37.57866000,-79.4791700,454.0
37.57854000,-79.4792800,452.0
37.57835000,-79.4794300,450.0
37.57819000,-79.4796100,448.0
37.57798000,-79.4798700,442.0
37.57783000,-79.4799300,438.0
37.57776000,-79.4799300,437.0
37.57768000,-79.4799300,435.0
37.57760000,-79.4800000,433.0
37.57752000,-79.4800600,431.0
37.57728000,-79.4802600,426.0
37.57723000,-79.4805600,426.0
37.57724000,-79.4809400,425.0
37.57725000,-79.4812300,422.0
37.57722000,-79.4815100,419.0
37.57718000,-79.4817100,417.0
37.57710000,-79.4820700,412.0
37.57710000,-79.4824300,408.0
37.57707000,-79.4829100,402.0
37.57708000,-79.4830900,403.0
37.57696000,-79.4834600,401.0
37.57689000,-79.4836800,399.0
37.57668000,-79.4839900,393.0
37.57649000,-79.4844700,389.0
37.57629000,-79.4847900,383.0
37.57604000,-79.4853700,377.0
37.57587000,-79.4856400,374.0
37.57552000,-79.4859100,366.0
37.57553000,-79.4860300,364.0
37.57539000,-79.4864000,361.0
37.57519000,-79.4866600,359.0
37.57517000,-79.4867400,359.0
37.57517000,-79.4868300,359.0
37.57513000,-79.4871900,356.0
37.57497000,-79.4879400,349.0
37.57476000,-79.4884700,346.0
37.57464000,-79.4889300,343.0
37.57466000,-79.4891200,342.0
37.57457000,-79.4893800,341.0
37.57442000,-79.4897600,340.0
37.57436000,-79.4900100,338.0
37.57432000,-79.4903100,335.0
37.57424000,-79.4905000,333.0
37.57414000,-79.4907500,332.0
37.57399000,-79.4910000,331.0
37.57381000,-79.4910200,331.0
37.57349000,-79.4909700,329.0
37.57343000,-79.4909800,329.0
37.57334000,-79.4910000,329.0
37.57316000,-79.4911700,327.0
37.57301000,-79.4912000,326.0
37.57268000,-79.4910800,321.0
37.57260000,-79.4910700,320.0
37.57265000,-79.4910100,321.0
37.57260000,-79.4910700,320.0
37.57242000,-79.4912500,318.0
37.57230000,-79.4914300,318.0
37.57218000,-79.4914900,318.0
37.57194000,-79.4915600,320.0
37.57159000,-79.4914800,320.0
37.57135000,-79.4914900,318.0
37.57119000,-79.4915800,317.0
37.57119000,-79.4916100,317.0
37.57120000,-79.4916500,317.0
37.57122000,-79.4916400,317.0
