Latitude,Longitude,Elevation
36.81351000,-82.6445900,601.0
36.81339000,-82.6444300,599.0
36.81322000,-82.6442500,600.0
36.81297000,-82.6440800,602.0
36.81289000,-82.6437700,599.0
36.81292000,-82.6435400,598.0
36.81300000,-82.6432400,594.0
36.81318000,-82.6431500,591.0
36.81348000,-82.6428900,589.0
36.81361000,-82.6427700,586.0
36.81377000,-82.6425100,585.0
36.81399000,-82.6423600,587.0
36.81430000,-82.6422300,588.0
36.81483000,-82.6421700,586.0
36.81486000,-82.6420500,583.0
36.81491000,-82.6419600,580.0
36.81512000,-82.6418200,578.0
36.81519000,-82.6416200,577.0
36.81523000,-82.6414700,579.0
36.81537000,-82.6411100,579.0
36.81551000,-82.6408600,579.0
36.81574000,-82.6403400,574.0
36.81618000,-82.6399800,574.0
36.81620000,-82.6398500,570.0
36.81618000,-82.6395400,565.0
36.81629000,-82.6392600,563.0
36.81642000,-82.6390100,563.0
36.81672000,-82.6386900,561.0
36.81674000,-82.6386800,561.0
36.81700000,-82.6383500,559.0
36.81709000,-82.6378900,554.0
36.81711000,-82.6375600,552.0
36.81705000,-82.6372000,549.0
36.81705000,-82.6370000,549.0
36.81708000,-82.6367800,548.0
36.81713000,-82.6366100,547.0
36.81736000,-82.6363700,546.0
36.81757000,-82.6361300,547.0
36.81785000,-82.6356300,544.0
36.81794000,-82.6353500,540.0
36.81813000,-82.6350700,535.0
36.81829000,-82.6350600,535.0
36.81842000,-82.6350000,535.0
36.81857000,-82.6345300,532.0
36.81863000,-82.6343200,531.0
36.81871000,-82.6341000,532.0
36.81875000,-82.6336900,535.0
36.81883000,-82.6334000,534.0
36.81883000,-82.6332500,534.0
36.81890000,-82.6328800,532.0
36.81902000,-82.6323800,531.0
36.81917000,-82.6316300,524.0
36.81919000,-82.6313700,521.0
36.81916000,-82.6311400,521.0
36.81911000,-82.6309100,523.0
36.81912000,-82.6307100,523.0
36.81919000,-82.6305500,521.0
36.81930000,-82.6303100,520.0
36.81940000,-82.6301500,519.0
36.81938000,-82.6300000,517.0
36.81938000,-82.6298300,515.0
36.81936000,-82.6296500,513.0
36.81939000,-82.6294200,511.0
36.81947000,-82.6292800,509.0
36.81957000,-82.6292200,507.0
36.81962000,-82.6291700,506.0
36.81962000,-82.6291000,506.0
36.81961000,-82.6289600,505.0
36.81965000,-82.6286900,505.0
36.81966000,-82.6285500,506.0
36.81959000,-82.6282500,511.0
36.81955000,-82.6281800,511.0
36.81945000,-82.6278200,515.0
36.81942000,-82.6276200,518.0
36.81936000,-82.6272900,524.0
36.81928000,-82.6270700,526.0
36.81913000,-82.6269100,524.0
36.81903000,-82.6268000,523.0
36.81890000,-82.6266700,522.0
36.81875000,-82.6265800,519.0
36.81866000,-82.6265100,518.0
36.81860000,-82.6264600,516.0
36.81849000,-82.6263800,514.0
36.81831000,-82.6261000,513.0
36.81804000,-82.6257100,508.0
36.81791000,-82.6254000,505.0
36.81781000,-82.6251100,503.0
36.81778000,-82.6248400,502.0
36.81775000,-82.6246800,501.0
36.81755000,-82.6243300,494.0
36.81740000,-82.6239400,489.0
36.81733000,-82.6232600,489.0
36.81720000,-82.6227000,486.0
36.81710000,-82.6222500,481.0
