Latitude,Longitude,Elevation
37.35740000,-80.5903200,725.0
37.35738000,-80.5904000,725.0
37.35737000,-80.5904700,725.0
37.35735000,-80.5905300,724.0
37.35732000,-80.5906200,724.0
37.35730000,-80.5907000,723.0
37.35728000,-80.5907700,722.0
37.35725000,-80.5908300,720.0
37.35723000,-80.5909000,720.0
37.35721000,-80.5909600,719.0
37.35720000,-80.5910300,719.0
37.35718000,-80.5910900,718.0
37.35716000,-80.5911800,718.0
37.35714000,-80.5912600,719.0
37.35713000,-80.5913300,719.0
37.35711000,-80.5913900,718.0
37.35709000,-80.5914500,719.0
37.35708000,-80.5915200,719.0
37.35704000,-80.5915800,718.0
37.35704000,-80.5916500,719.0
37.35701000,-80.5916900,718.0
37.35699000,-80.5917500,718.0
37.35696000,-80.5918000,717.0
37.35694000,-80.5918600,716.0
37.35691000,-80.5919100,716.0
37.35687000,-80.5919700,716.0
37.35684000,-80.5920100,715.0
37.35680000,-80.5920800,714.0
37.35677000,-80.5921200,713.0
37.35674000,-80.5921800,712.0
37.35670000,-80.5922300,711.0
37.35667000,-80.5922900,710.0
37.35663000,-80.5923300,710.0
37.35658000,-80.5924000,710.0
37.35655000,-80.5924600,709.0
37.35651000,-80.5925100,709.0
37.35648000,-80.5925500,709.0
37.35645000,-80.5925900,709.0
37.35643000,-80.5926600,710.0
37.35639000,-80.5927000,710.0
37.35626000,-80.5931500,709.0
37.35626000,-80.5931700,709.0
37.35622000,-80.5932400,709.0
37.35619000,-80.5933000,709.0
37.35617000,-80.5933600,709.0
37.35614000,-80.5934300,709.0
37.35612000,-80.5935100,709.0
37.35610000,-80.5935800,709.0
37.35609000,-80.5936400,710.0
37.35605000,-80.5937300,711.0
37.35602000,-80.5938100,711.0
37.35597000,-80.5938800,711.0
37.35593000,-80.5939400,710.0
37.35590000,-80.5940100,709.0
37.35587000,-80.5940500,708.0
37.35581000,-80.5940900,706.0
37.35578000,-80.5941400,705.0
37.35576000,-80.5942000,705.0
37.35573000,-80.5942400,704.0
37.35569000,-80.5943100,703.0
37.35566000,-80.5943900,701.0
37.35561000,-80.5944400,700.0
37.35559000,-80.5945000,700.0
37.35556000,-80.5945400,700.0
37.35552000,-80.5946100,700.0
37.35551000,-80.5946700,700.0
37.35547000,-80.5947200,701.0
37.35546000,-80.5947800,700.0
37.35542000,-80.5948400,700.0
37.35540000,-80.5949100,700.0
37.35537000,-80.5950000,699.0
37.35535000,-80.5950600,698.0
37.35532000,-80.5951200,698.0
37.35530000,-80.5952100,697.0
37.35527000,-80.5952500,696.0
37.35523000,-80.5953200,696.0
37.35520000,-80.5953600,696.0
37.35517000,-80.5954200,695.0
37.35511000,-80.5954700,694.0
37.35506000,-80.5955300,693.0
37.35503000,-80.5956000,693.0
37.35498000,-80.5956400,692.0
37.35494000,-80.5956800,693.0
37.35491000,-80.5957200,693.0
37.35488000,-80.5957700,693.0
37.35484000,-80.5958300,693.0
37.35481000,-80.5958700,693.0
37.35477000,-80.5959200,694.0
37.35474000,-80.5959800,694.0
37.35471000,-80.5960700,694.0
37.35467000,-80.5961300,694.0
37.35465000,-80.5962000,695.0
37.35464000,-80.5962600,695.0
37.35462000,-80.5963300,695.0
37.35462000,-80.5963900,695.0
37.35460000,-80.5964800,694.0
37.35460000,-80.5965400,694.0
37.35459000,-80.5966300,693.0
37.35459000,-80.5966900,693.0
37.35459000,-80.5967800,693.0
37.35459000,-80.5968600,693.0
37.35457000,-80.5969500,692.0
37.35457000,-80.5970300,692.0
37.35455000,-80.5971000,692.0
37.35453000,-80.5971600,691.0
37.35452000,-80.5972300,691.0
37.35450000,-80.5972900,690.0
37.35448000,-80.5973600,690.0
37.35445000,-80.5974400,689.0
37.35442000,-80.5975100,688.0
37.35436000,-80.5975500,687.0
37.35433000,-80.5976100,687.0
37.35430000,-80.5976800,687.0
37.35424000,-80.5977400,686.0
37.35421000,-80.5978300,685.0
37.35418000,-80.5978900,685.0
37.35414000,-80.5979600,684.0
37.35411000,-80.5980200,684.0
37.35407000,-80.5980800,683.0
37.35406000,-80.5981500,682.0
37.35404000,-80.5982100,681.0
37.35401000,-80.5982800,680.0
37.35399000,-80.5983400,680.0
37.35399000,-80.5984100,679.0
37.35397000,-80.5984900,678.0
37.35396000,-80.5985600,678.0
37.35396000,-80.5986200,677.0
37.35394000,-80.5986900,677.0
37.35394000,-80.5987500,677.0
37.35394000,-80.5988100,677.0
37.35394000,-80.5989000,677.0
37.35394000,-80.5989600,676.0
37.35392000,-80.5990300,676.0
37.35390000,-80.5990900,675.0
37.35389000,-80.5991600,675.0
37.35385000,-80.5992200,674.0
37.35380000,-80.5992900,673.0
37.35373000,-80.5993700,671.0
37.35370000,-80.5994200,670.0
37.35368000,-80.5994800,670.0
37.35363000,-80.5995000,669.0
37.35358000,-80.5995400,669.0
37.35351000,-80.5995700,669.0
37.35341000,-80.5996300,668.0
37.35331000,-80.5996700,668.0
37.35326000,-80.5996900,668.0
37.35320000,-80.5997200,668.0
37.35275000,-80.5999700,669.0
